ID,LABELS,X.COR,Y.COR
AD19-033,LM5,3517,2191
AD19-033,LM6,3546,2013
AD19-033,LM7,3482,1801
AD19-033,LM8,2903,1805
AD19-033,LM9,2781,1768
AD19-033,LM10,2460,1734
AD19-033,LM11,1940,1907
AD19-033,LM12,1861,1942
AD19-033,LM13,2113,2051
AD19-033,LM14,2150,1928
AD19-033,LM15,1709,2176
AD19-033,LM16,1856,2174
AD19-034,LM1,2427,2275
AD19-034,LM2,2795,2358
AD19-034,LM3,3297,2405
AD19-034,LM4,3595,2310
AD19-034,LM5,4004,2263
AD19-034,LM6,4032,2123
AD19-034,LM7,3997,1945
AD19-034,LM8,3533,1930
AD19-034,LM9,3422,1898
AD19-034,LM10,3160,1874
AD19-034,LM11,2709,2018
AD19-034,LM12,2629,2050
AD19-034,LM13,2890,2142
AD19-034,LM14,2936,2035
AD19-034,LM15,2535,2236
AD19-034,LM16,2667,2236
AD19-035,LM1,2078,2197
AD19-035,LM2,2453,2263
